,date,month,year,bu,Conformance CALC,System Outage (hrs),Unplanned out % CALC,Shrinkage % CALC,aht,Attrition %
263,2019-02-07,February,2019,RIS,0.940805079,0.0,4%,21%,560.0,0.018518519
264,2019-02-07,February,2019,SCS,#DIV/0!,0.0,8%,34%,,
265,2019-02-07,February,2019,WISE,0.96733601,0.0,11%,30%,518.9127229839304,0.00729927
266,2019-02-08,February,2019,Client Transactions,0.855447962,0.0,2%,30%,303.1619718309859,0.041666667
267,2019-02-08,February,2019,Participant Transactions,0.812564168,0.0,9%,34%,459.1351247600768,0.040816327
268,2019-02-08,February,2019,RAM,0.866967497,0.0,8%,35%,882.122371967655,0.018867925
269,2019-02-08,February,2019,RCS PHONES,#DIV/0!,0.0,7%,40%,,0.076923077
270,2019-02-08,February,2019,RIS,0.939858994,0.0,10%,27%,572.0,0.018518519
271,2019-02-08,February,2019,SCS,#DIV/0!,0.0,7%,35%,,
272,2019-02-08,February,2019,WISE,0.94483762,0.0,8%,30%,539.0253880748586,0.00729927
287,2019-02-11,February,2019,Client Transactions,0.846256513,0.0,5%,35%,286.75541795665634,0.041666667
288,2019-02-11,February,2019,Participant Transactions,0.862814166,0.0,12%,29%,428.2977447901798,0.040816327
289,2019-02-11,February,2019,RAM,0.936607485,0.0,9%,26%,849.3725490196078,0.018867925
290,2019-02-11,February,2019,RCS PHONES,#DIV/0!,0.0,11%,47%,,0.076923077
291,2019-02-11,February,2019,RIS,0.967862412,0.0,11%,24%,622.0,0.018518519
292,2019-02-11,February,2019,SCS,#DIV/0!,0.0,14%,33%,,
293,2019-02-11,February,2019,WISE,0.920473748,0.0,17%,32%,538.8421405429561,0.00729927
294,2019-02-12,February,2019,Client Transactions,0.755405437,0.0,7%,38%,306.5483319076133,0.041666667
295,2019-02-12,February,2019,Participant Transactions,0.821984228,0.0,12%,31%,460.04583975346685,0.040816327
296,2019-02-12,February,2019,RAM,0.920867638,0.0,4%,32%,1006.6452896948254,0.018867925
297,2019-02-12,February,2019,RCS PHONES,#DIV/0!,0.0,9%,39%,,0.076923077
298,2019-02-12,February,2019,RIS,0.965433468,0.0,8%,25%,590.0,0.018518519
299,2019-02-12,February,2019,SCS,#DIV/0!,0.0,9%,35%,,
300,2019-02-12,February,2019,WISE,0.939643234,0.0,12%,31%,514.8323158323159,0.00729927
301,2019-02-13,February,2019,Client Transactions,0.823338778,0.0,4%,34%,369.93875,0.041666667
302,2019-02-13,February,2019,Participant Transactions,0.831424612,0.0,7%,35%,470.8066095471236,0.040816327
